id,nombre,precio,stock,descripcion
1,TechPro Cortinas Blanco,520.33,153,Cortinas de alta calidad de la marca TechPro. Ideal para uso diario.
2,TechPro Figura de acción Gris,128.65,174,Figura de acción de alta calidad de la marca TechPro. Ideal para uso diario.
3,Elite Botella deportiva Rojo,594.42,91,Botella deportiva de alta calidad de la marca Elite. Ideal para uso diario.
4,Premium Cómic Blanco,49.36,176,Cómic de alta calidad de la marca Premium. Ideal para uso diario.
5,TechPro Cortinas Azul,346.08,12,Cortinas de alta calidad de la marca TechPro. Ideal para uso diario.
6,Premium Balón Rojo,223.36,78,Balón de alta calidad de la marca Premium. Ideal para uso diario.
7,SportMax Jarrón Negro,744.18,35,Jarrón de alta calidad de la marca SportMax. Ideal para uso diario.
8,Premium Puzzle Rosa,81.2,166,Puzzle de alta calidad de la marca Premium. Ideal para uso diario.
9,SportMax Sartén Azul,642.71,185,Sartén de alta calidad de la marca SportMax. Ideal para uso diario.
10,ProLine Guantes Blanco,213.64,191,Guantes de alta calidad de la marca ProLine. Ideal para uso diario.
11,Basic Falda Verde,725.85,21,Falda de alta calidad de la marca Basic. Ideal para uso diario.
12,EcoLife Auriculares Rojo,721.89,196,Auriculares de alta calidad de la marca EcoLife. Ideal para uso diario.
13,HomeStyle Alfombra Verde,400.4,196,Alfombra de alta calidad de la marca HomeStyle. Ideal para uso diario.
14,ProLine Marco de fotos Negro,370.51,130,Marco de fotos de alta calidad de la marca ProLine. Ideal para uso diario.
15,TechPro Vela aromática Gris,441.66,19,Vela aromática de alta calidad de la marca TechPro. Ideal para uso diario.
16,Elite Cafetera Amarillo,304.77,13,Cafetera de alta calidad de la marca Elite. Ideal para uso diario.
17,Premium Novela Blanco,617.94,120,Novela de alta calidad de la marca Premium. Ideal para uso diario.
18,Premium Jersey Gris,573.97,102,Jersey de alta calidad de la marca Premium. Ideal para uso diario.
19,TechPro Cafetera Negro,380.64,51,Cafetera de alta calidad de la marca TechPro. Ideal para uso diario.
20,Elite Aceite corporal Negro,749.56,165,Aceite corporal de alta calidad de la marca Elite. Ideal para uso diario.
21,ProLine Bloques de construcción Amarillo,260.3,171,Bloques de construcción de alta calidad de la marca ProLine. Ideal para uso diario.
22,TechPro Crema facial Verde,165.68,100,Crema facial de alta calidad de la marca TechPro. Ideal para uso diario.
23,Elite Camisa Rosa,597.19,108,Camisa de alta calidad de la marca Elite. Ideal para uso diario.
24,SportMax Novela Verde,568.0,172,Novela de alta calidad de la marca SportMax. Ideal para uso diario.
25,Elite Espejo Amarillo,9.35,9,Espejo de alta calidad de la marca Elite. Ideal para uso diario.
26,Basic Figura de acción Rosa,569.29,41,Figura de acción de alta calidad de la marca Basic. Ideal para uso diario.
27,Basic Cargador Rosa,597.8,86,Cargador de alta calidad de la marca Basic. Ideal para uso diario.
28,EcoLife Perfume Amarillo,670.05,198,Perfume de alta calidad de la marca EcoLife. Ideal para uso diario.
29,EcoLife Polo Verde,14.67,71,Polo de alta calidad de la marca EcoLife. Ideal para uso diario.
30,HomeStyle Pesas Verde,799.35,187,Pesas de alta calidad de la marca HomeStyle. Ideal para uso diario.
31,Basic Guantes Gris,791.59,104,Guantes de alta calidad de la marca Basic. Ideal para uso diario.
32,ProLine Ensayo Rojo,329.53,66,Ensayo de alta calidad de la marca ProLine. Ideal para uso diario.
33,HomeStyle Maceta Azul,271.79,25,Maceta de alta calidad de la marca HomeStyle. Ideal para uso diario.
34,HomeStyle Chaqueta Azul,335.95,118,Chaqueta de alta calidad de la marca HomeStyle. Ideal para uso diario.
35,EcoLife Cuchillos Rojo,345.44,16,Cuchillos de alta calidad de la marca EcoLife. Ideal para uso diario.
